run_id,policy,task_index,task_id,priority,period,deadline,wcet,offset,jobs_released,jobs_completed,deadline_miss,unfinished,rt_avg,rt_max,late_avg,late_max
0,FPP,0,0,3,53,53,4,0,3774,3774,0,0,6.170641,16,0.000000,0
0,FPP,1,1,4,63,63,10,0,3175,3175,0,0,16.793071,26,0.000000,0
0,FPP,2,2,2,47,47,2,0,4256,4256,0,0,3.221805,12,0.000000,0
0,FPP,3,3,7,87,87,11,0,2299,2299,0,0,31.728143,62,0.000000,0
0,FPP,4,4,0,37,37,4,0,5406,5406,0,0,4.000000,4,0.000000,0
0,FPP,5,5,1,42,42,6,0,4762,4762,0,0,6.810584,10,0.000000,0
0,FPP,6,6,5,70,70,7,0,2858,2858,0,0,15.801959,33,0.000000,0
0,FPP,7,7,6,72,72,2,0,2778,2778,0,0,9.352052,35,0.000000,0
run_id,policy,task_index,task_id,priority,period,deadline,wcet,offset,jobs_released,jobs_completed,deadline_miss,unfinished,rt_avg,rt_max,late_avg,late_max
1,FPP,0,0,2,28,28,1,0,7143,7143,0,0,1.560269,4,0.000000,0
1,FPP,1,1,0,16,16,2,0,12500,12500,0,0,2.000000,2,0.000000,0
1,FPP,2,2,5,75,75,7,0,2667,2667,0,0,16.209974,31,0.000000,0
1,FPP,3,3,1,25,25,1,0,8000,8000,0,0,1.187500,3,0.000000,0
1,FPP,4,4,4,68,68,11,0,2942,2942,0,0,16.987424,22,0.000000,0
1,FPP,5,5,3,31,31,5,0,6452,6452,0,0,6.200713,9,0.000000,0
1,FPP,6,6,6,94,94,6,0,2128,2128,0,0,17.320489,44,0.000000,0
1,FPP,7,7,7,147,147,6,0,1361,1361,0,0,20.901543,53,0.000000,0
run_id,policy,task_index,task_id,priority,period,deadline,wcet,offset,jobs_released,jobs_completed,deadline_miss,unfinished,rt_avg,rt_max,late_avg,late_max
2,FPP,0,0,4,94,94,6,0,2128,2128,0,0,10.248120,20,0.000000,0
2,FPP,1,1,0,10,10,1,0,20000,20000,0,0,1.000000,1,0.000000,0
2,FPP,2,2,3,71,71,4,0,2817,2817,0,0,6.188853,12,0.000000,0
2,FPP,3,3,6,108,108,14,0,1852,1852,0,0,35.820734,58,0.000000,0
2,FPP,4,4,1,12,12,2,0,16667,16667,0,0,2.200036,3,0.000000,0
2,FPP,5,5,2,45,45,4,0,4445,4445,0,0,5.750281,7,0.000000,0
2,FPP,6,6,5,94,94,10,0,2128,2128,0,0,26.918703,34,0.000000,0
2,FPP,7,7,7,149,149,27,0,1343,1342,11,1,90.823398,159,0.036513,10
run_id,policy,task_index,task_id,priority,period,deadline,wcet,offset,jobs_released,jobs_completed,deadline_miss,unfinished,rt_avg,rt_max,late_avg,late_max
3,FPP,0,0,0,15,15,2,0,13334,13334,0,0,2.000000,2,0.000000,0
3,FPP,1,1,3,69,69,5,0,2899,2899,0,0,6.927561,14,0.000000,0
3,FPP,2,2,5,130,130,26,0,1539,1539,0,0,43.800520,57,0.000000,0
3,FPP,3,3,2,63,63,6,0,3175,3175,0,0,6.960630,9,0.000000,0
3,FPP,4,4,4,115,115,10,0,1740,1740,0,0,15.903448,26,0.000000,0
3,FPP,5,5,1,50,50,1,0,4000,4000,0,0,1.667000,3,0.000000,0
3,FPP,6,6,6,131,131,9,0,1527,1527,0,0,28.180747,81,0.000000,0
3,FPP,7,7,7,149,149,12,0,1343,1342,0,1,41.870343,95,0.000000,0
run_id,policy,task_index,task_id,priority,period,deadline,wcet,offset,jobs_released,jobs_completed,deadline_miss,unfinished,rt_avg,rt_max,late_avg,late_max
4,FPP,0,0,6,102,102,1,0,1961,1961,0,0,7.957165,43,0.000000,0
4,FPP,1,1,2,35,35,3,0,5715,5715,0,0,3.717060,7,0.000000,0
4,FPP,2,2,0,19,19,1,0,10527,10527,0,0,1.000000,1,0.000000,0
4,FPP,3,3,1,24,24,3,0,8334,8334,0,0,3.157907,4,0.000000,0
4,FPP,4,4,4,76,76,10,0,2632,2632,0,0,15.856763,23,0.000000,0
4,FPP,5,5,5,98,98,12,0,2041,2041,0,0,23.881431,42,0.000000,0
4,FPP,6,6,7,128,128,17,0,1563,1563,0,0,44.090851,69,0.000000,0
4,FPP,7,7,3,56,56,5,0,3572,3572,0,0,7.243561,12,0.000000,0
run_id,policy,task_index,task_id,priority,period,deadline,wcet,offset,jobs_released,jobs_completed,deadline_miss,unfinished,rt_avg,rt_max,late_avg,late_max
5,FPP,0,0,4,114,114,12,0,1755,1755,0,0,20.154416,38,0.000000,0
5,FPP,1,1,1,33,33,2,0,6061,6061,0,0,2.064676,3,0.000000,0
5,FPP,2,2,2,41,41,6,0,4879,4878,0,1,6.615826,9,0.000000,0
5,FPP,3,3,6,122,122,16,0,1640,1640,0,0,36.909146,71,0.000000,0
5,FPP,4,4,3,100,100,14,0,2000,2000,0,0,18.286500,23,0.000000,0
5,FPP,5,5,5,121,121,8,0,1653,1653,0,0,18.093769,52,0.000000,0
5,FPP,6,6,7,134,134,16,0,1493,1493,0,0,50.884796,93,0.000000,0
5,FPP,7,7,0,31,31,1,0,6452,6452,0,0,1.000000,1,0.000000,0
run_id,policy,task_index,task_id,priority,period,deadline,wcet,offset,jobs_released,jobs_completed,deadline_miss,unfinished,rt_avg,rt_max,late_avg,late_max
6,FPP,0,0,4,87,87,1,0,2299,2299,0,0,5.355807,12,0.000000,0
6,FPP,1,1,7,149,149,7,0,1343,1342,0,1,34.488077,86,0.000000,0
6,FPP,2,2,6,122,122,25,0,1640,1639,0,1,52.931666,78,0.000000,0
6,FPP,3,3,1,29,29,3,0,6897,6897,0,0,3.300130,4,0.000000,0
6,FPP,4,4,0,10,10,1,0,20000,20000,0,0,1.000000,1,0.000000,0
6,FPP,5,5,3,74,74,2,0,2703,2703,0,0,3.261561,10,0.000000,0
6,FPP,6,6,5,110,110,19,0,1819,1818,0,1,29.673817,40,0.000000,0
6,FPP,7,7,2,35,35,4,0,5715,5715,0,0,5.155381,8,0.000000,0
run_id,policy,task_index,task_id,priority,period,deadline,wcet,offset,jobs_released,jobs_completed,deadline_miss,unfinished,rt_avg,rt_max,late_avg,late_max
7,FPP,0,0,2,96,96,14,0,2084,2084,0,0,16.053743,20,0.000000,0
7,FPP,1,1,6,138,138,19,0,1450,1449,0,1,41.158040,71,0.000000,0
7,FPP,2,2,7,141,141,21,0,1419,1418,0,1,59.658674,95,0.000000,0
7,FPP,3,3,5,112,112,8,0,1786,1786,0,0,18.605823,49,0.000000,0
7,FPP,4,4,0,45,45,3,0,4445,4445,0,0,3.000000,3,0.000000,0
7,FPP,5,5,4,102,102,9,0,1961,1961,0,0,16.538501,38,0.000000,0
7,FPP,6,6,3,96,96,9,0,2084,2084,0,0,26.280230,29,0.000000,0
7,FPP,7,7,1,49,49,3,0,4082,4082,0,0,3.267026,6,0.000000,0
run_id,policy,task_index,task_id,priority,period,deadline,wcet,offset,jobs_released,jobs_completed,deadline_miss,unfinished,rt_avg,rt_max,late_avg,late_max
8,FPP,0,0,5,96,96,16,0,2084,2084,0,0,31.463532,43,0.000000,0
8,FPP,1,1,0,26,26,3,0,7693,7693,0,0,3.000000,3,0.000000,0
8,FPP,2,2,1,33,33,6,0,6061,6061,0,0,6.807787,9,0.000000,0
8,FPP,3,3,3,50,50,6,0,4000,4000,0,0,9.265500,17,0.000000,0
8,FPP,4,4,4,52,52,1,0,3847,3847,0,0,6.705485,18,0.000000,0
8,FPP,5,5,7,142,142,9,0,1409,1409,0,0,34.960256,83,0.000000,0
8,FPP,6,6,2,48,48,2,0,4167,4167,0,0,3.364771,11,0.000000,0
8,FPP,7,7,6,132,132,10,0,1516,1515,0,1,34.316832,65,0.000000,0
run_id,policy,task_index,task_id,priority,period,deadline,wcet,offset,jobs_released,jobs_completed,deadline_miss,unfinished,rt_avg,rt_max,late_avg,late_max
9,FPP,0,0,4,65,65,11,0,3077,3077,0,0,14.946051,18,0.000000,0
9,FPP,1,1,7,125,125,14,0,1600,1600,0,0,39.588125,65,0.000000,0
9,FPP,2,2,2,34,34,1,0,5883,5883,0,0,1.489546,6,0.000000,0
9,FPP,3,3,6,100,100,12,0,2000,2000,0,0,27.460000,46,0.000000,0
9,FPP,4,4,0,20,20,2,0,10000,10000,0,0,2.000000,2,0.000000,0
9,FPP,5,5,5,65,65,7,0,3077,3077,0,0,24.341891,27,0.000000,0
9,FPP,6,6,3,37,37,1,0,5406,5406,0,0,1.503330,7,0.000000,0
9,FPP,7,7,1,27,27,3,0,7408,7408,0,0,3.350027,5,0.000000,0
run_id,policy,task_index,task_id,priority,period,deadline,wcet,offset,jobs_released,jobs_completed,deadline_miss,unfinished,rt_avg,rt_max,late_avg,late_max
10,FPP,0,0,6,102,102,18,0,1961,1961,0,0,36.952065,49,0.000000,0
10,FPP,1,1,2,34,34,1,0,5883,5883,0,0,2.121027,8,0.000000,0
10,FPP,2,2,3,64,64,3,0,3125,3125,0,0,4.898560,11,0.000000,0
10,FPP,3,3,0,25,25,5,0,8000,8000,0,0,5.000000,5,0.000000,0
10,FPP,4,4,5,98,98,1,0,2041,2041,0,0,4.498775,23,0.000000,0
10,FPP,5,5,7,109,109,14,0,1835,1835,0,0,43.086104,74,0.000000,0
10,FPP,6,6,1,25,25,2,0,8000,8000,0,0,7.000000,7,0.000000,0
10,FPP,7,7,4,79,79,11,0,2532,2532,0,0,16.519747,22,0.000000,0
